2026-03-20T11:30:15+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-20T11:30:15+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-20T12:35:34+01:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-20T12:58:11+01:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-20T12:59:06+01:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-20T12:59:44+01:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-20T11:59:57+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-20T11:59:57+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-20T12:08:13+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-20T12:08:13+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-20T12:23:16+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-20T12:23:16+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-20T12:24:53+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-20T12:24:54+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-20T12:24:55+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-20T12:24:55+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-20T12:25:43+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-20T12:25:43+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-20T12:25:51+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=500 | CURLERR= | BODY={"type":"https://tools.ietf.org/html/rfc9110#section-15.6.1","title":"An error occurred while processing your request.","status":500,"detail":"RCCService failed to render"}
2026-03-21T16:33:14+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=0 | CURLERR=Failed to connect to localhost port 7000 after 2231 ms: Couldn't connect to server | BODY=
2026-03-21T16:33:16+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=0 | CURLERR=Failed to connect to localhost port 7000 after 2235 ms: Couldn't connect to server | BODY=
2026-03-21T16:34:22+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=0 | CURLERR=Failed to connect to localhost port 7000 after 2243 ms: Couldn't connect to server | BODY=
2026-03-21T16:34:26+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=0 | CURLERR=Failed to connect to localhost port 7000 after 2210 ms: Couldn't connect to server | BODY=
2026-03-21T16:34:28+00:00 | URL=http://localhost:7000/api/v1/avatar-render | HTTP=0 | CURLERR=Failed to connect to localhost port 7000 after 2237 ms: Couldn't connect to server | BODY=
